,airport_code,airport_name,year,month,ntsb_accidents,ntsb_incidents,faa_incidents,dataset
1451,APA,Centennial Airport,1992,6,1.0,0.0,0.0,ntsb
50218,APA,Denver Centennial,1992,6,0.0,0.0,2.0,faa
1452,APA,Centennial Airport,1992,10,1.0,0.0,0.0,ntsb
50221,APA,Denver Centennial,1992,10,0.0,0.0,1.0,faa
1453,APA,Centennial Airport,1993,2,1.0,0.0,0.0,ntsb
50223,APA,Denver Centennial,1993,2,0.0,0.0,1.0,faa
1454,APA,Centennial Airport,1993,3,1.0,0.0,0.0,ntsb
50224,APA,Denver Centennial,1993,3,0.0,0.0,1.0,faa
1455,APA,Centennial Airport,1993,4,1.0,0.0,0.0,ntsb
50225,APA,Denver Centennial,1993,4,0.0,0.0,2.0,faa
1456,APA,Centennial Airport,1994,4,2.0,0.0,0.0,ntsb
50236,APA,Denver Centennial,1994,4,0.0,0.0,2.0,faa
1457,APA,Centennial Airport,1994,7,2.0,0.0,0.0,ntsb
50239,APA,Denver Centennial,1994,7,0.0,0.0,2.0,faa
1459,APA,Centennial Airport,1995,7,1.0,0.0,0.0,ntsb
50247,APA,Denver Centennial,1995,7,0.0,0.0,1.0,faa
1463,APA,Centennial Airport,1996,5,2.0,0.0,0.0,ntsb
50253,APA,Denver Centennial,1996,5,0.0,0.0,4.0,faa
