,iata,wiki_title,state_names,num_words_matched,max_state
H MARKER LAKE,MKE,Milwaukee Mitchell International Airport - Wikipedia,"{'Alaska': 3, 'Arizona': 1, 'Colorado': 1, 'Florida': 7, 'Georgia': 1, 'Illinois': 9, 'Indiana': 3, 'Iowa': 2, 'Kansas': 3, 'Kentucky': 2, 'Michigan': 9, 'Minnesota': 1, 'Nevada': 1, 'New York': 4, 'North Carolina': 1, 'Oregon': 4, 'Texas': 1, 'Washington': 5, 'Wisconsin': 115}",0,False
BROTHERS WELCOME,JFK,John F. Kennedy International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 16, 'Arizona': 3, 'California': 2, 'Florida': 7, 'Georgia': 1, 'Hawaii': 16, 'Indiana': 9, 'Kentucky': 8, 'Massachusetts': 11, 'Mississippi': 1, 'Nevada': 1, 'New Jersey': 56, 'New York': 264, 'Ohio': 1, 'Oregon': 2, 'Pennsylvania': 2, 'Puerto Rico': 1, 'Washington': 44, 'Wisconsin': 1}",0,False
KENDALL-TAMIAMI,TMB,Miami Executive Airport - Wikipedia,"{'Florida': 77, 'Ohio': 6}",0,True
SCOTTSDALE,SCF,Scottsdale Airport - Wikipedia,"{'Arizona': 80, 'Nevada': 3, 'New Mexico': 2, 'Texas': 1, 'Washington': 1}",1,True
REID HILLVIEW,RHV,Reid–Hillview Airport - Wikipedia,{'California': 34},0,True
MAURY COUNTY,MRC,Maury County Airport - Wikipedia,{'Tennessee': 43},2,True
BERMUDA DUNES,UDD,Bermuda Dunes Airport - Wikipedia,{'California': 24},2,True
ANN ARBOR,ARB,Ann Arbor Municipal Airport - Wikipedia,"{'Michigan': 94, 'Washington': 1}",2,True
KENNEDY,JFK,John F. Kennedy International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 16, 'Arizona': 3, 'California': 2, 'Florida': 7, 'Georgia': 1, 'Hawaii': 16, 'Indiana': 9, 'Kentucky': 8, 'Massachusetts': 11, 'Mississippi': 1, 'Nevada': 1, 'New Jersey': 56, 'New York': 264, 'Ohio': 1, 'Oregon': 2, 'Pennsylvania': 2, 'Puerto Rico': 1, 'Washington': 44, 'Wisconsin': 1}",1,False
FIRE LAKE,SLC,Salt Lake City International Airport - Wikipedia,"{'Alaska': 11, 'Arizona': 1, 'California': 3, 'Colorado': 4, 'Georgia': 1, 'Idaho': 12, 'Indiana': 6, 'Kansas': 12, 'Kentucky': 4, 'Nevada': 1, 'New York': 10, 'Oklahoma': 1, 'Oregon': 1, 'Texas': 1, 'Utah': 57, 'Washington': 21, 'Wyoming': 3}",1,False
CLEVELAND-HOPKINS INTL,YYZ,Toronto Pearson International Airport - Wikipedia,"{'Florida': 4, 'Indiana': 6, 'Kansas': 3, 'Kentucky': 4, 'Maryland': 1, 'Michigan': 6, 'New York': 12, 'Ohio': 3, 'Washington': 12}",0,False
PENSACOLA REGIONAL,PNS,Pensacola International Airport - Wikipedia,"{'Florida': 123, 'Georgia': 12, 'Illinois': 10, 'Kansas': 8, 'North Carolina': 3, 'Pennsylvania': 10, 'Tennessee': 10, 'Texas': 30, 'Virginia': 10, 'Washington': 15}",1,True
FORT LAUDERDALE EXECUTIVE,FXE,Fort Lauderdale Executive Airport - Wikipedia,"{'Florida': 187, 'Virginia': 3}",3,True
TORRANCE MUNIC.,LAX,Los Angeles International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 35, 'Arizona': 3, 'Arkansas': 4, 'California': 170, 'Colorado': 4, 'Florida': 2, 'Georgia': 1, 'Hawaii': 9, 'Idaho': 3, 'Illinois': 1, 'Indiana': 15, 'Iowa': 3, 'Kansas': 9, 'Kentucky': 8, 'Maryland': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'North Carolina': 1, 'Ohio': 3, 'Oklahoma': 3, 'Pennsylvania': 2, 'Texas': 9, 'Utah': 1, 'Washington': 43}",0,True
