
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations",
Sub-Total for Unknown,,,,,,"76,110","39,277","22,649",553,"138,589",0,0,0,0,0,"3,763","1,687","3,049",196,"8,695",0,0,0,0,0,376,16,392,"147,676","147,676",
11/1989,DEN ,CO,ANM,WE,Combined TRACON & Tower with Radar,"22,684","8,515","2,833",96,"34,128",0,50,223,125,398,"1,389",634,401,46,"2,470",0,0,0,0,0,33,0,33,"36,631","37,029",
11/1989,DFW ,TX,ASW,CE,Combined TRACON & Tower with Radar,"39,578","15,984","1,343",50,"56,955",0,0,0,0,0,661,515,186,28,"1,390",0,0,0,0,0,0,0,0,"58,345","58,345",
11/1989,DTW ,MI,AGL,CE,Combined TRACON & Tower with Radar,"22,133","4,014","3,651",2,"29,800",0,0,0,0,0,616,332,136,9,"1,093",0,0,0,0,0,909,1,910,"31,803","31,803",
Sub-Total for CE,,,,,,"61,711","19,998","4,994",52,"86,755",0,0,0,0,0,"1,277",847,322,37,"2,483",0,0,0,0,0,909,1,910,"90,148","90,148",
11/1989,EWR ,NJ,AEA,EN,Combined TRACON & Tower with Radar,"20,747","7,319","1,826",29,"29,921",0,245,"2,144",123,"2,512","1,006",349,330,37,"1,722",0,0,0,0,0,0,0,0,"31,643","34,155",
Sub-Total for Unknown,,,,,,"105,142","35,832","9,653",177,"150,804",0,295,"2,367",248,"2,910","3,672","1,830","1,053",120,"6,675",0,0,0,0,0,942,1,943,"158,422","161,332",
11/1989,FAI ,AK,AAL,WE,Towers with Radar,898,746,434,20,"2,098",0,0,0,0,0,143,737,932,33,"1,845",0,0,0,0,0,935,84,"1,019","4,962","4,962",
11/1989,FLL ,FL,ASO,ES,Combined TRACON & Tower with Radar,"7,543","3,986","5,054",73,"16,656",0,172,"5,710",64,"5,946",311,196,255,24,786,0,0,0,0,0,344,24,368,"17,810","23,756",
11/1989,HNL ,HI,AWP,WE,Towers with Radar,"14,785","4,186","5,345","1,481","25,797",0,0,0,0,0,734,272,436,333,"1,775",0,0,0,0,0,"1,863",160,"2,023","29,595","29,595",
11/1989,HOU ,TX,ASW,CE,Combined TRACON & Tower with Radar,"8,881","1,404","10,164",86,"20,535",0,0,"1,854",423,"2,277",633,262,858,244,"1,997",0,0,0,0,0,353,0,353,"22,885","25,162",
11/1989,HPN ,NY,AEA,EN,Towers with Display (VFR),324,"2,698","4,532",1,"7,555",0,0,0,0,0,34,361,"5,567",19,"5,981",0,0,0,0,0,"2,840",0,"2,840","16,376","16,376",
11/1989,IAD ,VA,AEA,EN,Towers with Radar,"9,325","3,355","4,161",185,"17,026",0,0,0,0,0,315,225,398,51,989,0,0,0,0,0,156,26,182,"18,197","18,197",
Sub-Total for EN,,,,,,"9,649","6,053","8,693",186,"24,581",0,0,0,0,0,349,586,"5,965",70,"6,970",0,0,0,0,0,"2,996",26,"3,022","34,573","34,573",
Sub-Total for AEA,,,,,,"9,649","6,053","8,693",186,"24,581",0,0,0,0,0,349,586,"5,965",70,"6,970",0,0,0,0,0,"2,996",26,"3,022","34,573","34,573",
