
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,, ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Total
Operations",
11/1989,MCI ,MO,ACE,CE,Towers with Radar,"8,129","3,502","7,969",766,"20,366",13,179,"2,519",145,"2,856",0,0,0,0,0,0,0,0,0,0,"23,222",
11/1989,MCN ,GA,ASO,ES,Towers with Radar,241,763,"4,264","2,775","8,043",6,"1,572","4,849",319,"6,746",0,0,0,0,0,0,0,0,0,0,"14,789",
11/1989,MCO ,FL,ASO,ES,Towers with Radar,"14,153","5,079","8,764",540,"28,536",710,"1,085","11,439","1,249","14,483",0,0,0,0,0,0,0,0,0,0,"43,019",
Sub-Total for ES,,,,,,"14,394","5,842","13,028","3,315","36,579",716,"2,657","16,288","1,568","21,229",0,0,0,0,0,0,0,0,0,0,"57,808",
11/1989,MEM ,TN,ASO,CE,Towers with Radar,"15,347","5,104","6,819","1,734","29,004",22,173,"3,111",164,"3,470",0,0,0,0,0,0,0,0,0,0,"32,474",
Sub-Total for ASO,,,,,,"29,741","10,946","19,847","5,049","65,583",738,"2,830","19,399","1,732","24,699",0,0,0,0,0,0,0,0,0,0,"90,282",
11/1989,MFD ,OH,AGL,CE,Towers with Radar,0,226,"1,293",348,"1,867",0,421,"2,164",28,"2,613",0,0,0,0,0,0,0,0,0,0,"4,480",
Sub-Total for Unknown,,,,,,"37,870","14,674","29,109","6,163","87,816",751,"3,430","24,082","1,905","30,168",0,0,0,0,0,0,0,0,0,0,"117,984",
Sub-Total for CE,,,,,,"15,347","5,330","8,112","2,082","30,871",22,594,"5,275",192,"6,083",0,0,0,0,0,0,0,0,0,0,"36,954",
11/1989,MFR ,OR,ANM,WE,Tower without Radar,327,"1,134",883,5,"2,349",0,0,41,0,41,0,0,0,0,0,0,0,0,0,0,"2,390",
11/1989,MGM ,AL,ASO,ES,Towers with Radar,352,962,"2,837","2,168","6,319",2,244,"2,524",408,"3,178",0,0,0,0,0,0,0,0,0,0,"9,497",
11/1989,MHT ,NH,ANE,EN,Towers with Radar,777,"2,175","2,627",76,"5,655",17,"1,773",773,219,"2,782",0,0,0,0,0,0,0,0,0,0,"8,437",
11/1989,MIA ,FL,ASO,ES,Towers with Radar,"30,368","10,489","16,005","2,406","59,268",82,345,"4,133",292,"4,852",0,0,0,0,0,0,0,0,0,0,"64,120",
11/1989,MKE ,WI,AGL,CE,Towers with Radar,"6,119","4,383","6,880",411,"17,793",866,"1,368","2,779",75,"5,088",0,0,0,0,0,0,0,0,0,0,"22,881",
11/1989,MKG ,MI,AGL,CE,Towers with Radar,0,896,"3,377",344,"4,617",112,335,782,9,"1,238",0,0,0,0,0,0,0,0,0,0,"5,855",
11/1989,MLI ,IL,AGL,CE,Towers with Radar,736,"2,171","3,514",204,"6,625",64,309,"1,943",142,"2,458",0,0,0,0,0,0,0,0,0,0,"9,083",
Sub-Total for AGL,,,,,,"6,855","7,450","13,771",959,"29,035","1,042","2,012","5,504",226,"8,784",0,0,0,0,0,0,0,0,0,0,"37,819",
11/1989,MLU ,LA,ASW,CE,Towers with Radar,408,759,"3,650",114,"4,931",0,31,762,84,877,0,0,0,0,0,0,0,0,0,0,"5,808",
11/1989,MOB ,AL,ASO,CE,Towers with Radar,"1,448",516,"4,111","1,981","8,056",44,182,"1,636","1,153","3,015",0,0,0,0,0,0,0,0,0,0,"11,071",
Sub-Total for CE,,,,,,"8,711","8,725","21,532","3,054","42,022","1,086","2,225","7,902","1,463","12,676",0,0,0,0,0,0,0,0,0,0,"54,698",
11/1989,MRY ,CA,AWP,WE,Towers with Radar,585,"1,787","6,970",448,"9,790",0,82,"1,034",118,"1,234",0,0,0,0,0,0,0,0,0,0,"11,024",
11/1989,MSN ,WI,AGL,CE,Towers with Radar,"1,314","1,313","5,169",654,"8,450",1,351,"1,820",72,"2,244",0,0,0,0,0,0,0,0,0,0,"10,694",
Sub-Total for Unknown,,,,,,"42,107","25,451","55,140","8,806","131,504","1,188","5,020","18,186","2,572","26,966",0,0,0,0,0,0,0,0,0,0,"158,470",
11/1989,MSO ,MT,ANM,WE,Tower without Radar,373,867,341,13,"1,594",0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,"1,597",
11/1989,MSY ,LA,ASW,CE,Towers with Radar,"7,766","2,369","6,052","1,930","18,117",5,349,"2,871",297,"3,522",0,0,0,0,0,0,0,0,0,0,"21,639",
11/1989,MWH ,WA,ANM,WE,Tower without Radar,477,427,366,329,"1,599",4,82,61,23,170,0,0,0,0,0,0,0,0,0,0,"1,769",
11/1989,N90 ,NY,AEA,EN,Combined TRACON,"63,148","29,409","36,353",723,"129,633",0,"3,034","9,139",125,"12,298",0,0,0,0,0,0,0,0,0,0,"141,931",
11/1989,NKX ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","10,976","5,507","8,856","9,913","35,252",21,311,"3,587",555,"4,474",0,0,0,0,0,0,0,0,0,0,"39,726",
11/1989,NMM ,MS,ASO,CE,"TRACON, RAPCON, or CERAP",41,633,750,"5,103","6,527",10,192,934,102,"1,238",0,0,0,0,0,0,0,0,0,0,"7,765",
11/1989,NZJ ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","7,005","2,324","10,431","2,955","22,715","10,490","4,916","10,794","1,091","27,291",0,0,0,0,0,0,0,0,0,0,"50,006",
11/1989,O40 ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","7,266","2,592","9,524","6,343","25,725","2,104","3,156","14,168",273,"19,701",0,0,0,0,0,0,0,0,0,0,"45,426",
11/1989,O90 ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","37,451","13,414","31,897","2,319","85,081",156,110,"2,550",275,"3,091",0,0,0,0,0,0,0,0,0,0,"88,172",
Sub-Total for Unknown,,,,,,"62,739","24,470","61,458","26,633","175,300","12,781","8,685","32,033","2,296","55,795",0,0,0,0,0,0,0,0,0,0,"231,095",
Sub-Total for CA,,,,,,"51,722","18,330","51,852","11,617","133,521","12,750","8,182","27,512","1,639","50,083",0,0,0,0,0,0,0,0,0,0,"183,604",
11/1989,OGG ,HI,AWP,WE,Combined TRACON & Tower with Radar,"4,338","5,461","1,329",354,"11,482",10,493,130,36,669,0,0,0,0,0,0,0,0,0,0,"12,151",
Sub-Total for WE,,,,,,"56,060","23,791","53,181","11,971","145,003","12,760","8,675","27,642","1,675","50,752",0,0,0,0,0,0,0,0,0,0,"195,755",
Sub-Total for AWP,,,,,,"56,060","23,791","53,181","11,971","145,003","12,760","8,675","27,642","1,675","50,752",0,0,0,0,0,0,0,0,0,0,"195,755",
11/1989,OKC ,OK,ASW,CE,Towers with Radar,"4,840",338,"7,763","5,069","18,010",0,150,"6,737",386,"7,273",0,0,0,0,0,0,0,0,0,0,"25,283",
11/1989,ORF ,VA,AEA,EN,Towers with Radar,"5,467","1,887","9,337","9,347","26,038",665,127,"3,791","2,695","7,278",0,0,0,0,0,0,0,0,0,0,"33,316",
Sub-Total for Unknown,,,,,,"10,307","2,225","17,100","14,416","44,048",665,277,"10,528","3,081","14,551",0,0,0,0,0,0,0,0,0,0,"58,599",
11/1989,P31 ,FL,ASO,ES,"TRACON, RAPCON, or CERAP","1,622",759,"4,173","19,003","25,557",17,145,"1,562",429,"2,153",0,0,0,0,0,0,0,0,0,0,"27,710",
11/1989,P50 ,AZ,AWP,WE,"TRACON, RAPCON, or CERAP","23,216","4,831","15,013","11,543","54,603",62,44,867,206,"1,179",0,0,0,0,0,0,0,0,0,0,"55,782",
11/1989,P80 ,OR,ANM,WE,"TRACON, RAPCON, or CERAP","7,937","7,963","5,920",912,"22,732",7,128,"1,801",122,"2,058",0,0,0,0,0,0,0,0,0,0,"24,790",
Sub-Total for Unknown,,,,,,"32,775","13,553","25,106","31,458","102,892",86,317,"4,230",757,"5,390",0,0,0,0,0,0,0,0,0,0,"108,282",
Sub-Total for WE,,,,,,"31,153","12,794","20,933","12,455","77,335",69,172,"2,668",328,"3,237",0,0,0,0,0,0,0,0,0,0,"80,572",
11/1989,PBI ,FL,ASO,ES,Towers with Radar,"5,258","2,360","11,667",164,"19,449",59,579,"6,430",240,"7,308",0,0,0,0,0,0,0,0,0,0,"26,757",
11/1989,PHL ,PA,AEA,EN,Towers with Radar,"15,504","12,198","10,804","1,977","40,483",15,457,"3,409",643,"4,524",0,0,0,0,0,0,0,0,0,0,"45,007",
11/1989,PIA ,IL,AGL,CE,Towers with Radar,574,"3,032","4,564",745,"8,915",30,"2,014","3,530",40,"5,614",0,0,0,0,0,0,0,0,0,0,"14,529",
11/1989,PIT ,PA,AEA,CE,Towers with Radar,"21,080","8,522","7,026",576,"37,204",12,174,"3,368",23,"3,577",0,0,0,0,0,0,0,0,0,0,"40,781",
Sub-Total for Unknown,,,,,,"42,416","26,112","34,061","3,462","106,051",116,"3,224","16,737",946,"21,023",0,0,0,0,0,0,0,0,0,0,"127,074",
Sub-Total for CE,,,,,,"21,654","11,554","11,590","1,321","46,119",42,"2,188","6,898",63,"9,191",0,0,0,0,0,0,0,0,0,0,"55,310",
11/1989,PSP ,CA,AWP,WE,Combined TRACON & Tower with Radar,847,"2,773","7,228",80,"10,928",11,202,"2,521",110,"2,844",0,0,0,0,0,0,0,0,0,0,"13,772",
11/1989,PUB ,CO,ANM,WE,Combined TRACON & Tower with Radar,633,510,876,800,"2,819",86,10,112,"2,261","2,469",0,0,0,0,0,0,0,0,0,0,"5,288",
Sub-Total for Unknown,,,,,,"1,480","3,283","8,104",880,"13,747",97,212,"2,633","2,371","5,313",0,0,0,0,0,0,0,0,0,0,"19,060",
Sub-Total for WE,,,,,,"1,480","3,283","8,104",880,"13,747",97,212,"2,633","2,371","5,313",0,0,0,0,0,0,0,0,0,0,"19,060",
11/1989,PWM ,ME,ANE,EN,Towers with Radar,"1,446","2,513","2,994",67,"7,020",3,921,"1,380",453,"2,757",0,0,0,0,0,0,0,0,0,0,"9,777",
11/1989,R90 ,NE,ACE,CE,"TRACON, RAPCON, or CERAP","3,460","1,672","5,627","2,289","13,048",311,247,"3,086",83,"3,727",0,0,0,0,0,0,0,0,0,0,"16,775",
11/1989,RDG ,PA,AEA,EN,Towers with Radar,8,"1,160","1,470",88,"2,726",4,667,840,110,"1,621",0,0,0,0,0,0,0,0,0,0,"4,347",
11/1989,RDU ,NC,ASO,EN,Towers with Radar,"10,489","4,904","7,799",635,"23,827",29,461,"2,710",345,"3,545",0,0,0,0,0,0,0,0,0,0,"27,372",
Sub-Total for EN,,,,,,"10,497","6,064","9,269",723,"26,553",33,"1,128","3,550",455,"5,166",0,0,0,0,0,0,0,0,0,0,"31,719",
11/1989,RFD ,IL,AGL,CE,Towers with Radar,89,"1,177","5,725",186,"7,177",19,"2,056","3,328",119,"5,522",0,0,0,0,0,0,0,0,0,0,"12,699",
11/1989,RIC ,VA,AEA,EN,Towers with Radar,"3,082","1,958","6,191","1,248","12,479",1,687,"3,201",553,"4,442",0,0,0,0,0,0,0,0,0,0,"16,921",
11/1989,RNO ,NV,AWP,WE,Towers with Radar,"3,660","1,654","5,786",855,"11,955",1,5,639,115,760,0,0,0,0,0,0,0,0,0,0,"12,715",
11/1989,ROA ,VA,AEA,EN,Towers with Radar,"1,076","1,881","3,061",52,"6,070",80,242,"1,479",112,"1,913",0,0,0,0,0,0,0,0,0,0,"7,983",
11/1989,ROC ,NY,AEA,CE,Towers with Radar,"3,910","1,252","3,965",183,"9,310",378,527,"1,242",65,"2,212",0,0,0,0,0,0,0,0,0,0,"11,522",
Sub-Total for Unknown,,,,,,"22,314","13,986","33,997","3,247","73,544",512,"4,645","13,439","1,419","20,015",0,0,0,0,0,0,0,0,0,0,"93,559",
Sub-Total for AEA,,,,,,"4,986","3,133","7,026",235,"15,380",458,769,"2,721",177,"4,125",0,0,0,0,0,0,0,0,0,0,"19,505",
11/1989,ROW ,NM,ASW,WE,Tower without Radar,4,492,441,"1,309","2,246",1,9,62,62,134,0,0,0,0,0,0,0,0,0,0,"2,380",
11/1989,RST ,MN,AGL,CE,Towers with Radar,475,225,"1,219",166,"2,085",0,48,468,13,529,0,0,0,0,0,0,0,0,0,0,"2,614",
11/1989,RSW ,FL,ASO,ES,Towers with Radar,"3,011","2,565","4,005",214,"9,795",47,871,"5,108",181,"6,207",0,0,0,0,0,0,0,0,0,0,"16,002",
Sub-Total for Unknown,,,,,,"3,486","2,790","5,224",380,"11,880",47,919,"5,576",194,"6,736",0,0,0,0,0,0,0,0,0,0,"18,616",
11/1989,S46 ,WA,ANM,WE,"TRACON, RAPCON, or CERAP","15,018","13,288","8,388","2,785","39,479",43,115,"2,176",316,"2,650",0,0,0,0,0,0,0,0,0,0,"42,129",
11/1989,S56 ,UT,ANM,WE,"TRACON, RAPCON, or CERAP","12,220","4,483","7,364","2,805","26,872",5,309,"2,369",163,"2,846",0,0,0,0,0,0,0,0,0,0,"29,718",
Sub-Total for Unknown,,,,,,"27,238","17,771","15,752","5,590","66,351",48,424,"4,545",479,"5,496",0,0,0,0,0,0,0,0,0,0,"71,847",
Sub-Total for WE,,,,,,"27,238","17,771","15,752","5,590","66,351",48,424,"4,545",479,"5,496",0,0,0,0,0,0,0,0,0,0,"71,847",
Sub-Total for ANM,,,,,,"27,238","17,771","15,752","5,590","66,351",48,424,"4,545",479,"5,496",0,0,0,0,0,0,0,0,0,0,"71,847",
11/1989,SAT ,TX,ASW,CE,Towers with Radar,"6,731","1,744","8,670","10,965","28,110",22,29,"2,211",523,"2,785",0,0,0,0,0,0,0,0,0,0,"30,895",
11/1989,SAV ,GA,ASO,ES,Towers with Radar,"1,655",966,"5,279","1,317","9,217",5,230,"3,202",711,"4,148",0,0,0,0,0,0,0,0,0,0,"13,365",
11/1989,SBA ,CA,AWP,WE,Towers with Radar,689,"3,884","7,272",63,"11,908",2,577,"1,430",124,"2,133",0,0,0,0,0,0,0,0,0,0,"14,041",
11/1989,SBN ,IN,AGL,CE,Towers with Radar,510,"3,281","4,933",22,"8,746",41,"2,483","2,926",40,"5,490",0,0,0,0,0,0,0,0,0,0,"14,236",
11/1989,SCK ,CA,AWP,WE,Towers with Radar,166,863,"4,035",520,"5,584",309,"4,031","2,454",882,"7,676",0,0,0,0,0,0,0,0,0,0,"13,260",
11/1989,SDF ,KY,ASO,CE,Towers with Radar,"6,781","2,194","5,889",552,"15,416",127,303,"4,222",155,"4,807",0,0,0,0,0,0,0,0,0,0,"20,223",
11/1989,SGF ,MO,ACE,CE,Towers with Radar,347,"1,567","1,599",231,"3,744",0,165,602,23,790,0,0,0,0,0,0,0,0,0,0,"4,534",
11/1989,SHV ,LA,ASW,CE,Towers with Radar,"1,199","1,495","3,126","3,227","9,047",4,264,"2,483",218,"2,969",0,0,0,0,0,0,0,0,0,0,"12,016",
Sub-Total for Unknown,,,,,,"18,078","15,994","40,803","16,897","91,772",510,"8,082","19,530","2,676","30,798",0,0,0,0,0,0,0,0,0,0,"122,570",
11/1989,SJT ,TX,ASW,CE,Tower without Radar,6,"1,100",612,887,"2,605",0,0,53,29,82,0,0,0,0,0,0,0,0,0,0,"2,687",
Sub-Total for ASW,,,,,,"1,205","2,595","3,738","4,114","11,652",4,264,"2,536",247,"3,051",0,0,0,0,0,0,0,0,0,0,"14,703",
11/1989,SPI ,IL,AGL,CE,Towers with Radar,4,"2,052","4,579",426,"7,061",106,781,"1,705",46,"2,638",0,0,0,0,0,0,0,0,0,0,"9,699",
11/1989,SUX ,IA,ACE,CE,Towers with Radar,415,469,"1,231",359,"2,474",2,37,352,16,407,0,0,0,0,0,0,0,0,0,0,"2,881",
Sub-Total for CE,,,,,,"8,752","8,877","17,036","5,682","40,347",239,"1,550","9,417",487,"11,693",0,0,0,0,0,0,0,0,0,0,"52,040",
11/1989,SYR ,NY,AEA,EN,Towers with Radar,"4,490","3,971","3,424",598,"12,483",65,552,"1,629",201,"2,447",0,0,0,0,0,0,0,0,0,0,"14,930",
Sub-Total for Unknown,,,,,,"4,909","6,492","9,234","1,383","22,018",173,"1,370","3,686",263,"5,492",0,0,0,0,0,0,0,0,0,0,"27,510",
11/1989,T52 ,NY,AEA,EN,"TRACON, RAPCON, or CERAP",248,"1,381","2,010","1,584","5,223",347,"1,010","1,118",153,"2,628",0,0,0,0,0,0,0,0,0,0,"7,851",
Sub-Total for EN,,,,,,"4,738","5,352","5,434","2,182","17,706",412,"1,562","2,747",354,"5,075",0,0,0,0,0,0,0,0,0,0,"22,781",
Sub-Total for AEA,,,,,,"4,738","5,352","5,434","2,182","17,706",412,"1,562","2,747",354,"5,075",0,0,0,0,0,0,0,0,0,0,"22,781",
Sub-Total for NY,,,,,,"4,738","5,352","5,434","2,182","17,706",412,"1,562","2,747",354,"5,075",0,0,0,0,0,0,0,0,0,0,"22,781",
11/1989,T75 ,MO,ACE,CE,"TRACON, RAPCON, or CERAP","22,733","8,646","8,631",958,"40,968",20,106,"2,168",633,"2,927",0,0,0,0,0,0,0,0,0,0,"43,895",
Sub-Total for Unknown,,,,,,"22,981","10,027","10,641","2,542","46,191",367,"1,116","3,286",786,"5,555",0,0,0,0,0,0,0,0,0,0,"51,746",
11/1989,TLH ,FL,ASO,ES,Towers with Radar,"1,620","1,830","6,117",498,"10,065",4,147,"2,636",291,"3,078",0,0,0,0,0,0,0,0,0,0,"13,143",
11/1989,TOL ,OH,AGL,CE,Towers with Radar,811,"1,497","5,070",252,"7,630",284,828,"4,010",43,"5,165",0,0,0,0,0,0,0,0,0,0,"12,795",
11/1989,TPA ,FL,ASO,ES,Towers with Radar,"12,831","4,708","12,547","4,042","34,128",25,618,"9,721",759,"11,123",0,0,0,0,0,0,0,0,0,0,"45,251",
11/1989,TRI ,TN,ASO,ES,Towers with Radar,616,"1,490","3,409",18,"5,533",2,64,"1,776",266,"2,108",0,0,0,0,0,0,0,0,0,0,"7,641",
Sub-Total for ES,,,,,,"13,447","6,198","15,956","4,060","39,661",27,682,"11,497","1,025","13,231",0,0,0,0,0,0,0,0,0,0,"52,892",
Sub-Total for ASO,,,,,,"13,447","6,198","15,956","4,060","39,661",27,682,"11,497","1,025","13,231",0,0,0,0,0,0,0,0,0,0,"52,892",
11/1989,TUL ,OK,ASW,CE,Towers with Radar,"4,476",788,"7,845","1,202","14,311",4,382,"4,204",147,"4,737",0,0,0,0,0,0,0,0,0,0,"19,048",
Sub-Total for Unknown,,,,,,"20,354","10,313","34,988","6,012","71,667",319,"2,039","22,347","1,506","26,211",0,0,0,0,0,0,0,0,0,0,"97,878",
11/1989,TUT ,AS,AWP,WE,Tower without Radar,47,200,24,59,330,77,0,1,12,90,0,0,0,0,0,0,0,0,0,0,420,
11/1989,TWF ,ID,ANM,WE,Combination Non-Radar Approach Control & Tower w/o Radar,0,562,267,26,855,0,4,6,0,10,0,0,0,0,0,0,0,0,0,0,865,
Sub-Total for WE,,,,,,47,762,291,85,"1,185",77,4,7,12,100,0,0,0,0,0,0,0,0,0,0,"1,285",
11/1989,TYR ,TX,ASW,CE,Tower without Radar,0,"1,573",836,17,"2,426",0,8,81,4,93,0,0,0,0,0,0,0,0,0,0,"2,519",
11/1989,TYS ,TN,ASO,ES,Towers with Radar,"2,029","2,298","6,346",973,"11,646",0,151,"2,579",107,"2,837",0,0,0,0,0,0,0,0,0,0,"14,483",
11/1989,U90 ,AZ,AWP,WE,"TRACON, RAPCON, or CERAP","3,435",594,"11,336","8,877","24,242",0,111,580,269,960,0,0,0,0,0,0,0,0,0,0,"25,202",
11/1989,Y90 ,CT,ANE,EN,"TRACON, RAPCON, or CERAP","5,921","6,474","6,530","1,836","20,761",163,"3,785","6,618",322,"10,888",0,0,0,0,0,0,0,0,0,0,"31,649",
Sub-Total for Unknown,,,,,,"9,356","7,068","17,866","10,713","45,003",163,"3,896","7,198",591,"11,848",0,0,0,0,0,0,0,0,0,0,"56,851",
11/1989,YKM ,WA,ANM,WE,Tower without Radar,13,"1,648",638,187,"2,486",1,37,44,8,90,0,0,0,0,0,0,0,0,0,0,"2,576",
11/1989,YNG ,OH,AGL,CE,Towers with Radar,101,820,"3,084",358,"4,363",20,668,"1,612",32,"2,332",0,0,0,0,0,0,0,0,0,0,"6,695",
11/1989,ZHN ,HI,AWP,WE,"TRACON, RAPCON, or CERAP","9,282","9,948","1,745",787,"21,762","12,039",739,521,"3,136","16,435",0,0,0,0,0,0,0,0,0,0,"38,197",
11/1989,ZSU ,PR,ASO,ES,"TRACON, RAPCON, or CERAP","6,333","12,426","4,223","1,296","24,278","5,842",66,470,469,"6,847",0,0,0,0,0,0,0,0,0,0,"31,125",
Sub-Total for Unknown,,,,,,"15,615","22,374","5,968","2,083","46,040","17,881",805,991,"3,605","23,282",0,0,0,0,0,0,0,0,0,0,"69,322",
11/1989,ZUA ,GU,AWP,WE,Air Route Traffic Control Center,"1,225",173,41,919,"2,358",0,0,145,89,234,0,0,0,0,0,0,0,0,0,0,"2,592",
Sub-Total for 11/1989,,,,,,"1,026,829","596,613","1,044,728","281,324","2,949,494","71,092","106,107","447,513","69,949","694,661",0,0,0,0,0,0,0,0,0,0,"3,644,155",
12/1989,A90 ,NH,ANE,EN,"TRACON, RAPCON, or CERAP","20,542","12,114","6,936",725,"40,317",31,339,"5,307",213,"5,890",0,0,0,0,0,0,0,0,0,0,"46,207",
12/1989,ABE ,PA,AEA,EN,Towers with Radar,"1,111","1,521","4,097",215,"6,944",37,"2,814","3,289",164,"6,304",0,0,0,0,0,0,0,0,0,0,"13,248",
Sub-Total for EN,,,,,,"21,653","13,635","11,033",940,"47,261",68,"3,153","8,596",377,"12,194",0,0,0,0,0,0,0,0,0,0,"59,455",
12/1989,ABI ,TX,ASW,CE,Towers with Radar,38,"1,658","3,114","3,576","8,386",0,160,898,45,"1,103",0,0,0,0,0,0,0,0,0,0,"9,489",
12/1989,ABQ ,NM,ASW,WE,Towers with Radar,"5,714","3,202","6,061","2,195","17,172",2,103,"1,630",300,"2,035",0,0,0,0,0,0,0,0,0,0,"19,207",
12/1989,ACT ,TX,ASW,CE,Towers with Radar,81,775,"1,192",413,"2,461",3,"1,143",808,110,"2,064",0,0,0,0,0,0,0,0,0,0,"4,525",
Sub-Total for ASW,,,,,,"5,833","5,635","10,367","6,184","28,019",5,"1,406","3,336",455,"5,202",0,0,0,0,0,0,0,0,0,0,"33,221",
12/1989,ACY ,NJ,AEA,EN,Towers with Radar,469,"1,971","3,815",617,"6,872",97,68,"1,068",759,"1,992",0,0,0,0,0,0,0,0,0,0,"8,864",
12/1989,AGS ,GA,ASO,ES,Towers with Radar,549,"1,181","2,006",299,"4,035",76,291,"1,895",212,"2,474",0,0,0,0,0,0,0,0,0,0,"6,509",
12/1989,ALB ,NY,AEA,EN,Towers with Radar,"2,563","7,415","4,925",857,"15,760",25,855,"1,736",97,"2,713",0,0,0,0,0,0,0,0,0,0,"18,473",
12/1989,ALO ,IA,ACE,CE,Towers with Radar,0,"1,466",957,31,"2,454",66,189,753,10,"1,018",0,0,0,0,0,0,0,0,0,0,"3,472",
12/1989,AMA ,TX,ASW,WE,Towers with Radar,"1,096",349,"3,101",870,"5,416",1,1,499,49,550,0,0,0,0,0,0,0,0,0,0,"5,966",
12/1989,ANC ,AK,AAL,WE,Towers with Radar,"6,806","4,042","3,123","1,828","15,799",1,164,314,47,526,0,0,0,0,0,0,0,0,0,0,"16,325",
12/1989,ASE ,CO,ANM,WE,Towers with Radar,539,907,"1,147",6,"2,599",14,76,405,4,499,0,0,0,0,0,0,0,0,0,0,"3,098",
Sub-Total for WE,,,,,,"8,441","5,298","7,371","2,704","23,814",16,241,"1,218",100,"1,575",0,0,0,0,0,0,0,0,0,0,"25,389",
12/1989,ATL ,GA,ASO,ES,Towers with Radar,"46,811","14,124","11,094","1,525","73,554",0,55,"1,811",115,"1,981",0,0,0,0,0,0,0,0,0,0,"75,535",
12/1989,AUS ,TX,ASW,CE,Towers with Radar,"5,093","2,093","7,790","2,719","17,695",4,156,"1,454",121,"1,735",0,0,0,0,0,0,0,0,0,0,"19,430",
12/1989,AVL ,NC,ASO,ES,Towers with Radar,342,"1,512","1,488",15,"3,357",43,423,"1,538",110,"2,114",0,0,0,0,0,0,0,0,0,0,"5,471",
12/1989,AVP ,PA,AEA,EN,Towers with Radar,429,"1,780","1,794",89,"4,092",13,397,"1,921",52,"2,383",0,0,0,0,0,0,0,0,0,0,"6,475",
12/1989,AZO ,MI,AGL,CE,Towers with Radar,539,"1,784","3,141",281,"5,745",52,"1,243","1,672",14,"2,981",0,0,0,0,0,0,0,0,0,0,"8,726",
Sub-Total for Unknown,,,,,,"72,180","45,780","58,845","15,536","192,341",434,"8,138","21,691","2,209","32,472",0,0,0,0,0,0,0,0,0,0,"224,813",
12/1989,B90 ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","3,495","4,232","17,312",347,"25,386","3,437","4,979","9,223",391,"18,030",0,0,0,0,0,0,0,0,0,0,"43,416",
12/1989,BFL ,CA,AWP,WE,Towers with Radar,163,"1,765","2,001",85,"4,014",2,618,618,40,"1,278",0,0,0,0,0,0,0,0,0,0,"5,292",
Sub-Total for WE,,,,,,"3,658","5,997","19,313",432,"29,400","3,439","5,597","9,841",431,"19,308",0,0,0,0,0,0,0,0,0,0,"48,708",
Sub-Total for AWP,,,,,,"3,658","5,997","19,313",432,"29,400","3,439","5,597","9,841",431,"19,308",0,0,0,0,0,0,0,0,0,0,"48,708",
Sub-Total for CA,,,,,,"3,658","5,997","19,313",432,"29,400","3,439","5,597","9,841",431,"19,308",0,0,0,0,0,0,0,0,0,0,"48,708",
12/1989,BGM ,NY,AEA,EN,Towers with Radar,314,"2,380","1,236",35,"3,965",51,995,"1,107",21,"2,174",0,0,0,0,0,0,0,0,0,0,"6,139",
12/1989,BGR ,ME,ANE,EN,Towers with Radar,847,"1,870","1,800","1,142","5,659",0,224,502,51,777,0,0,0,0,0,0,0,0,0,0,"6,436",
Sub-Total for EN,,,,,,"1,161","4,250","3,036","1,177","9,624",51,"1,219","1,609",72,"2,951",0,0,0,0,0,0,0,0,0,0,"12,575",
12/1989,BHM ,AL,ASO,ES,Towers with Radar,"3,360","2,332","7,339","1,228","14,259",0,351,"1,886",283,"2,520",0,0,0,0,0,0,0,0,0,0,"16,779",
12/1989,BIL ,MT,ANM,WE,Towers with Radar,989,"1,841","2,146",55,"5,031",0,3,108,0,111,0,0,0,0,0,0,0,0,0,0,"5,142",
12/1989,BIS ,ND,AGL,CE,Towers with Radar,679,397,681,135,"1,892",0,6,41,12,59,0,0,0,0,0,0,0,0,0,0,"1,951",
12/1989,BNA ,TN,ASO,CE,Towers with Radar,"9,524","4,555","6,217",379,"20,675",24,125,"1,710",138,"1,997",0,0,0,0,0,0,0,0,0,0,"22,672",
Sub-Total for CE,,,,,,"10,203","4,952","6,898",514,"22,567",24,131,"1,751",150,"2,056",0,0,0,0,0,0,0,0,0,0,"24,623",
12/1989,BOI ,ID,ANM,WE,Towers with Radar,"1,495","3,469","4,196","1,035","10,195",1,3,180,85,269,0,0,0,0,0,0,0,0,0,0,"10,464",
Sub-Total for Unknown,,,,,,"17,371","18,609","25,616","4,094","65,690",78,"2,325","6,152",630,"9,185",0,0,0,0,0,0,0,0,0,0,"74,875",
12/1989,BPT ,TX,ASW,CE,Combined TRACON & Tower with Radar,0,"1,569","2,112",83,"3,764",1,142,971,74,"1,188",0,0,0,0,0,0,0,0,0,0,"4,952",
