,0
abrvs_no_ovrcnt_call_12m,603
abrvs_no_ovrcnt_narrsyn_1m,68
abrvs_no_ovrcnt_narrsyn_3m,154
abrvs_no_ovrcnt_narrsyn_6m,303
abrvs_no_ovrcnt_narrsyn_12m,603
abrvs_no_ovrcnt_all_1m,68
abrvs_no_ovrcnt_all_3m,154
abrvs_no_ovrcnt_all_6m,303
abrvs_no_ovrcnt_all_12m,603
nasa_unq_narr_1m,68
nasa_unq_narr_3m,154
nasa_unq_narr_6m,303
nasa_unq_narr_12m,603
nasa_unq_narr_avg_1m,68
nasa_unq_narr_avg_3m,154
nasa_unq_narr_avg_6m,303
nasa_unq_narr_avg_12m,603
nasa_unq_narr_prop_1m,68
nasa_unq_narr_prop_3m,154
nasa_unq_narr_prop_6m,303
nasa_unq_narr_prop_12m,603
nasa_unq_narr_out_1m,68
nasa_unq_narr_out_3m,154
nasa_unq_narr_out_6m,303
nasa_unq_narr_out_12m,603
nasa_unq_narr_out_avg_1m,68
nasa_unq_narr_out_avg_3m,154
nasa_unq_narr_out_avg_6m,303
nasa_unq_narr_out_avg_12m,603
nasa_unq_narr_out_prop_1m,68
nasa_unq_narr_out_prop_3m,154
nasa_unq_narr_out_prop_6m,303
nasa_unq_narr_out_prop_12m,603
nasa_unq_narr_all_1m,68
nasa_unq_narr_all_3m,154
nasa_unq_narr_all_6m,303
nasa_unq_narr_all_12m,603
nasa_unq_narr_all_avg_1m,68
nasa_unq_narr_all_avg_3m,154
nasa_unq_narr_all_avg_6m,303
nasa_unq_narr_all_avg_12m,603
nasa_unq_narr_all_prop_1m,68
nasa_unq_narr_all_prop_3m,154
nasa_unq_narr_all_prop_6m,303
nasa_unq_narr_all_prop_12m,603
nasa_unq_syn_1m,68
nasa_unq_syn_3m,154
nasa_unq_syn_6m,303
nasa_unq_syn_12m,603
nasa_unq_syn_avg_1m,68
nasa_unq_syn_avg_3m,154
nasa_unq_syn_avg_6m,303
nasa_unq_syn_avg_12m,603
nasa_unq_syn_prop_1m,68
nasa_unq_syn_prop_3m,154
nasa_unq_syn_prop_6m,303
nasa_unq_syn_prop_12m,603
nasa_unq_syn_out_1m,68
nasa_unq_syn_out_3m,154
nasa_unq_syn_out_6m,303
nasa_unq_syn_out_12m,603
nasa_unq_syn_out_avg_1m,68
nasa_unq_syn_out_avg_3m,154
nasa_unq_syn_out_avg_6m,303
nasa_unq_syn_out_avg_12m,603
nasa_unq_syn_out_prop_1m,68
nasa_unq_syn_out_prop_3m,154
nasa_unq_syn_out_prop_6m,303
nasa_unq_syn_out_prop_12m,603
nasa_unq_syn_all_1m,68
nasa_unq_syn_all_3m,154
nasa_unq_syn_all_6m,303
nasa_unq_syn_all_12m,603
nasa_unq_syn_all_avg_1m,68
